Horizon,ARIMA_RMSE,ARIMA_MAE,ARIMA_MAPE,SVM_RMSE,SVM_MAE,SVM_MAPE,CNN_RMSE,CNN_MAE,CNN_MAPE,LightGBM_RMSE,LightGBM_MAE,LightGBM_MAPE,LSTM_RMSE,LSTM_MAE,LSTM_MAPE,TCN_RMSE,TCN_MAE,TCN_MAPE
day,4513.501777129412,3712.489395615939,15.489504800218192,204.49471103112327,181.37852383744416,0.8162090915465661,8672.427271779927,8548.889460495284,37.34529225387327,54.15205806215167,41.59149904508307,0.1819601536969002,1205.9504251212466,577.1464069870283,2.442188124276706,496.0579101679089,376.9467939268868,1.6393100302764383
week,5599.537463368064,4845.307386430059,19.31633523917791,205.7474691349595,161.81320598473644,0.695625966589823,7264.404882675391,5311.361081155652,23.03292868282435,49.14775738368598,36.64588590015964,0.1538994967161605,2119.550164943719,1323.214808715269,5.324812073898526,387.48829924983454,292.227828650276,1.2372543991099971
month,7727.2699426019635,7183.728393895084,28.50404146020981,248.4212252214184,187.01826590533756,0.7599349387525849,2615.607725830413,1875.53129972343,8.139691882297969,52.85804241209764,38.55372171299236,0.1568043369706286,1125.5933081389894,815.2586257543229,3.166882454970816,623.0832378020722,496.65921697298944,1.98249702913382
